module,number of nodes,tasks per node,iteration,mode,model,seed,person count,item count,iterations,burnin,batch size,mean,variance,unif,size,time in seconds,a correlation,g correlation,th correlation
openmpi,1,1,1,cuda,2pno,1493659,1000,20,10000,5000,10,0,1,1,1,1.02,0.981818,0.99681,0.85285
openmpi,1,1,2,cuda,2pno,1493659,1000,20,10000,5000,10,0,1,1,1,1.069,0.981818,0.99681,0.85285
openmpi,1,1,3,cuda,2pno,1493659,1000,20,10000,5000,10,0,1,1,1,1.018,0.981818,0.99681,0.85285
openmpi,1,1,1,cuda,2pno,1493659,1000,50,10000,5000,10,0,1,1,1,1.109,0.98168,0.996245,0.933052
openmpi,1,1,2,cuda,2pno,1493659,1000,50,10000,5000,10,0,1,1,1,1.108,0.98168,0.996245,0.933052
openmpi,1,2,2,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,2,1.583,0.975811,0.994903,0.985668
openmpi,1,2,3,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,2,1.581,0.975811,0.994903,0.985668
openmpi,1,2,1,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,2,1.205,0.983945,0.996732,0.853186
openmpi,1,2,2,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,2,1.214,0.983945,0.996732,0.853186
openmpi,1,2,3,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,2,1.213,0.983945,0.996732,0.853186
openmpi,1,2,1,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,2,1.291,0.981992,0.996284,0.933441
openmpi,1,2,2,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,2,1.291,0.981992,0.996284,0.933441
openmpi,1,4,2,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,4,1.637,0.975669,0.9948,0.985827
openmpi,1,4,3,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,4,1.636,0.975669,0.9948,0.985827
openmpi,1,4,1,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,4,1.272,0.983324,0.996774,0.853367
openmpi,1,4,2,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,4,1.269,0.983324,0.996774,0.853367
openmpi,1,4,3,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,4,1.269,0.983324,0.996774,0.853367
openmpi,1,4,1,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,4,1.351,0.981668,0.996229,0.933483
openmpi,1,4,2,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,4,1.356,0.981668,0.996229,0.933483
openmpi,1,8,2,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,8,8.955,0.975677,0.994833,0.985862
openmpi,1,8,3,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,8,8.954,0.975677,0.994833,0.985862
openmpi,1,8,1,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,8,10.214,0.982981,0.996749,0.853249
openmpi,1,8,2,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,8,9.195,0.982981,0.996749,0.853249
openmpi,1,8,3,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,8,10.179,0.982981,0.996749,0.853249
openmpi,1,8,1,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,8,10.07,0.981698,0.996258,0.933452
openmpi,1,8,2,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,8,10.318,0.981698,0.996258,0.933452
openmpi,2,4,2,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,8,2.06,0.975676,0.994833,0.985862
openmpi,2,4,3,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,8,2.058,0.975676,0.994833,0.985862
openmpi,2,4,1,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,8,1.646,0.982981,0.996749,0.853249
openmpi,2,4,2,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,8,1.647,0.982981,0.996749,0.853249
openmpi,2,4,3,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,8,1.649,0.982981,0.996749,0.853249
openmpi,2,4,1,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,8,1.677,0.981698,0.996258,0.933452
openmpi,2,4,2,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,8,1.675,0.981698,0.996258,0.933452
openmpi,2,2,2,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,4,1.649,0.975669,0.9948,0.985827
openmpi,2,2,3,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,4,1.649,0.975669,0.9948,0.985827
openmpi,2,2,1,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,4,1.324,0.983324,0.996774,0.853367
openmpi,2,2,2,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,4,1.322,0.983324,0.996774,0.853367
openmpi,2,2,3,cuda-aware mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,4,1.332,0.983324,0.996774,0.853367
openmpi,2,2,1,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,4,1.438,0.981668,0.996229,0.933483
openmpi,2,2,2,cuda-aware mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,4,1.437,0.981668,0.996229,0.933483
openmpi,1,2,1,mpi,2pno,1493659,2000,20,10000,5000,10,0,1,1,2,19.536,0.980093,0.997773,0.858504
openmpi,1,2,1,mpi,2pno,1493659,2000,50,10000,5000,10,0,1,1,2,48.569,0.991985,0.998173,0.937234
openmpi,1,2,1,mpi,2pno,1493659,2000,100,10000,5000,10,0,1,1,2,98.576,0.992607,0.998647,0.970299
openmpi,1,2,1,mpi,2pno,1493659,2000,200,10000,5000,10,0,1,1,2,194.688,0.993634,0.998547,0.98562
openmpi,1,2,1,mpi,2pno,1493659,5000,20,10000,5000,10,0,1,1,2,48.405,0.993865,0.999513,0.846762
